YMD,Y,M,D,date,Season,SeasonID,COVID_BKK_WM,COVID_BKK,PM2.5_BKK,PM10-BKK,WS-BKK,RH-BKK,AH-BKK,P_BKK,R_BKK,T-BKK,COVID_SSK_WM,COVID_SSK,PM2.5_SSK,PM10-SSK,WS-SSK,RH-SSK,AH-SSK,P_SSK,R_SSK,T-SSK,COVID_NKT_WM,COVID_NKT,PM2.5_NKT,PM10-NKT,WS-NKT,RH-NKT,AH-NKT,P_NKT,R_NKT,T-NKT,COVID_NBR_WM,COVID_NBR,PM2.5_NBR,PM10-NBR,WS-NBR,RH-NBR,AH-NBR,P_NBR,R_NBR,T-NBR,COVID_PTN_WM,COVID_PTN,PM2.5_PTN,PM10-PTN,WS-PTN,RH-PTN,AH-PTN,P_PTN,R_PTN,T-PTN,COVID_SPK_WM,COVID_SPK,PM2.5_SPK,PM10-SPK,WS-SPK,RH-SPK,AH-SPK,P_SPK,R_SPK,T-SPK
200927,2020,9,27,27/09/2020,RAINY,3,0,,7.95,18.15,1.56,64.64,20.34,750.88,30.7,30.67,0,0,7.13,19.17,1.89,65.79,19.01,754.75,57,29.1,0,,5.71,13.67,2.08,70.17,21.17,753.25,26.6,29.89,0,,7.1,16.79,0.6,68.14,20.8,0,26.4,30.1,0,,12.71,22.63,1.34,0,0,1004.5,4.6,0,0,,10.6,20.36,2,68.17,21.11,753.17,34.27,30.37
200615,2020,6,15,15/06/2020,RAINY,3,0,,8.6,15.83,0.74,80.95,22.68,751.9,15.21,28.53,0,0,5.79,20,0.91,83,23.18,754.79,8.2,28.47,0,,7.83,19.92,1.89,83.25,23.21,753.92,0,28.44,0,,7.27,16.29,0.49,80.18,20.03,0,17.8,26.45,0,,8.63,18.67,0.83,94.58,25.56,1005.46,22,27.87,0,,10.9,18.43,1.67,84.82,23.06,754.1,23.33,27.98
200810,2020,8,10,10/8/2020,RAINY,3,0,,8.74,18.42,1.15,67.26,20.85,751.13,0.9,30.39,0,0,9.42,21.25,1.26,67.75,20.12,754.54,15.6,29.6,0,,5.75,14.67,2.43,71.79,21.22,753.38,0,29.51,0,,7.63,16.08,0.69,66.13,19.12,0,0,29.11,0,,6.79,13.96,0.65,0,0,1004.67,0.2,0,0,,11.6,20.86,2.66,71.51,21.22,753.53,2,29.58
200731,2020,7,31,31/07/2020,RAINY,3,0,,9,19.36,1.65,60.42,19.42,749.38,0.1,31.06,0,0,7.33,24.63,1.38,62.83,19.99,754.58,0,30.87,0,,5.33,13.04,1.25,36.5,12.07,750.42,0,31.6,0,,6.6,15.98,0.91,65.18,18.28,0,9.8,28.55,0,,6.75,12.42,1.27,0,0,1002.42,0,0,2,2,12.22,24.9,2.55,69.88,20.71,748.17,7.27,29.56
200616,2020,6,16,16/06/2020,RAINY,3,0,,9.02,16.85,0.81,76.82,21.67,752.6,20.03,28.65,0,0,7.75,26.46,0.89,78.72,21.66,754.79,8.6,28.2,0,,7.79,18.54,1.59,82.33,22.09,754.63,6.8,27.75,0,,9.65,17.9,0.53,76.89,19.33,0,17,26.57,0,,12.29,23.88,0.68,91.88,24.54,1006.25,29.8,27.66,0,,10.74,18.09,2.02,79.17,22.04,754.61,7.43,28.42
200602,2020,6,2,2/6/2020,RAINY,3,0,,9.12,17.03,0.96,71.54,21.57,752.88,12.7,29.88,0,0,10.63,21.58,0.79,75.1,24.93,754.75,7.6,31.66,0,,6.29,15,1.75,76.17,22.3,755.13,11.6,29.34,0,,9.31,16.21,0.52,66.2,18.49,752.29,24.8,28.47,0,,9.33,19.17,0.9,83.71,23.98,1006.88,40.8,28.93,0,,11.08,20.14,1.91,76.15,22.33,755.19,24,29.36
200914,2020,9,14,14/09/2020,RAINY,3,0,,9.58,18.56,0.69,77.14,23.38,752.04,7.55,29.98,0,0,4.71,11.42,0.81,73,21.36,754.63,5.2,29.32,0,,6.54,19.58,1.12,79.92,23.24,754.29,24.8,29.21,0,,8.54,18.42,0.35,80.25,24.01,0,0.6,29.74,0,,12.08,19.58,0.76,0,0,1006,0.4,0,0,,10.83,19.97,1.68,78.63,23.27,754.4,1.27,29.54
200603,2020,6,3,3/6/2020,RAINY,3,0,,9.89,17.64,0.74,76.74,21.6,752.06,0.2,28.61,0,0,9.63,18.67,0.9,76.12,23.83,754.92,4.6,30.58,0,,8.83,17.79,1.77,80.71,22.43,754.13,20.6,28.38,0,,9.04,17.69,0.57,66.33,16.59,751.33,10.8,26.48,0,,13.13,22.5,1.18,84.46,22.95,1005.67,45.6,27.98,0,,12.82,24.58,1.75,81.25,22.06,754.29,5.47,27.96
200613,2020,6,13,13/06/2020,RAINY,3,0,,9.93,18.95,1.5,57.51,19.64,748.85,0,32.19,0,0,9.54,29.54,1.62,68.67,22.91,754.58,0,31.75,0,,7.13,19.13,2.59,63.58,21.43,751.32,0,31.95,0,,7.21,17.83,0.68,60.38,18.15,0,0,29.82,0,,8.83,16.67,0.89,75.63,23.77,1001.75,0,30.64,5,5,13.32,25.44,2.35,64.28,20.93,751.51,0,31.31
200917,2020,9,17,17/09/2020,RAINY,3,0,,9.98,21.62,1.4,66.22,21.25,749.58,0,31.03,0,0,12.42,30.46,1.52,67.71,19.93,754.63,0,29.44,0,,5.42,13.54,2.25,70.54,21.55,752.17,0,30.12,0,,8.33,17.06,0.54,71.38,22.6,0,0,30.78,0,,12.88,20.63,0.93,0,0,1002.92,0,0,0,,12.39,23.38,1.94,71.07,21.94,752.1,0.87,30.32
