value,date_time,date,week_num,weekday,temperature,humidity,pressure
1904.3162,2016-05-02T00:00:00Z,5/2/2016,1,Monday,14,54,1018
1869.7434,2016-05-02T00:30:00Z,5/2/2016,1,Monday,14,63,1017
1866.1062,2016-05-02T01:00:00Z,5/2/2016,1,Monday,14,52,1017
1845.9948,2016-05-02T01:30:00Z,5/2/2016,1,Monday,14,63,1017
1853.3689,2016-05-02T02:00:00Z,5/2/2016,1,Monday,13,56,1017
1835.9171,2016-05-02T02:30:00Z,5/2/2016,1,Monday,13,67,1017
1856.5096,2016-05-02T03:00:00Z,5/2/2016,1,Monday,13,59,1017
1884.2146,2016-05-02T03:30:00Z,5/2/2016,1,Monday,13,67,1017
1931.0924,2016-05-02T04:00:00Z,5/2/2016,1,Monday,13,60,1017
1932.1621,2016-05-02T04:30:00Z,5/2/2016,1,Monday,13,67,1017
1581.0545,2016-05-02T05:00:00Z,5/2/2016,1,Monday,12,67,1017
1245.5325,2016-05-02T05:30:00Z,5/2/2016,1,Monday,12,72,1017
1452.0909,2016-05-02T06:00:00Z,5/2/2016,1,Monday,12,63,1017
1626.4881,2016-05-02T06:30:00Z,5/2/2016,1,Monday,12,72,1017
1862.3203,2016-05-02T07:00:00Z,5/2/2016,1,Monday,13,62,1017
2047.3274,2016-05-02T07:30:00Z,5/2/2016,1,Monday,13,72,1017
2214.8945,2016-05-02T08:00:00Z,5/2/2016,1,Monday,13,61,1018
2378.8263,2016-05-02T08:30:00Z,5/2/2016,1,Monday,14,67,1017
2409.3698,2016-05-02T09:00:00Z,5/2/2016,1,Monday,14,56,1018
2427.9501,2016-05-02T09:30:00Z,5/2/2016,1,Monday,15,63,1017
2427.2747,2016-05-02T10:00:00Z,5/2/2016,1,Monday,15,55,1018
2330.8609,2016-05-02T10:30:00Z,5/2/2016,1,Monday,15,67,1018
2253.6721,2016-05-02T11:00:00Z,5/2/2016,1,Monday,16,59,1018
2231.9123,2016-05-02T11:30:00Z,5/2/2016,1,Monday,16,68,1017
2183.3284,2016-05-02T12:00:00Z,5/2/2016,1,Monday,16,61,1017
2144.2848,2016-05-02T12:30:00Z,5/2/2016,1,Monday,17,68,1017
2123.5168,2016-05-02T13:00:00Z,5/2/2016,1,Monday,18,54,1017
2109.8481,2016-05-02T13:30:00Z,5/2/2016,1,Monday,18,59,1016
2098.8385,2016-05-02T14:00:00Z,5/2/2016,1,Monday,20,48,1016
2064.1273,2016-05-02T14:30:00Z,5/2/2016,1,Monday,19,52,1016
2002.4106,2016-05-02T15:00:00Z,5/2/2016,1,Monday,15,64,1016
1855.2002,2016-05-02T15:30:00Z,5/2/2016,1,Monday,16,63,1016
1769.2082,2016-05-02T16:00:00Z,5/2/2016,1,Monday,17,49,1016
1678.5539,2016-05-02T16:30:00Z,5/2/2016,1,Monday,18,49,1015
1608.4564,2016-05-02T17:00:00Z,5/2/2016,1,Monday,17,43,1015
1555.4083,2016-05-02T17:30:00Z,5/2/2016,1,Monday,16,72,1016
1466.5521,2016-05-02T18:00:00Z,5/2/2016,1,Monday,16,64,1016
1426.8118,2016-05-02T18:30:00Z,5/2/2016,1,Monday,15,72,1015
1425.073,2016-05-02T19:00:00Z,5/2/2016,1,Monday,15,53,1015
1372.2449,2016-05-02T19:30:00Z,5/2/2016,1,Monday,16,63,1015
1593.7596,2016-05-02T20:00:00Z,5/2/2016,1,Monday,15,58,1015
2347.2562,2016-05-02T20:30:00Z,5/2/2016,1,Monday,15,67,1015
2278.9427,2016-05-02T21:00:00Z,5/2/2016,1,Monday,14,59,1015
2164.8669,2016-05-02T21:30:00Z,5/2/2016,1,Monday,15,67,1015
2122.8006,2016-05-02T22:00:00Z,5/2/2016,1,Monday,14,61,1015
2079.839,2016-05-02T22:30:00Z,5/2/2016,1,Monday,14,67,1015
2030.0393,2016-05-02T23:00:00Z,5/2/2016,1,Monday,14,64,1016
1987.6759,2016-05-02T23:30:00Z,5/2/2016,1,Monday,14,67,1015
1952.24,2016-05-03T00:00:00Z,5/3/2016,2,Tuesday,12,70,1016
1941.9226,2016-05-03T00:30:00Z,5/3/2016,2,Tuesday,12,82,1015
1901.3438,2016-05-03T01:00:00Z,5/3/2016,2,Tuesday,12,84,1015
1890.9012,2016-05-03T01:30:00Z,5/3/2016,2,Tuesday,11,94,1015
1885.0262,2016-05-03T02:00:00Z,5/3/2016,2,Tuesday,12,83,1015
1874.6862,2016-05-03T02:30:00Z,5/3/2016,2,Tuesday,12,88,1015
1883.2093,2016-05-03T03:00:00Z,5/3/2016,2,Tuesday,12,84,1015
1905.3935,2016-05-03T03:30:00Z,5/3/2016,2,Tuesday,11,94,1014
1968.1346,2016-05-03T04:00:00Z,5/3/2016,2,Tuesday,12,87,1015
1983.774,2016-05-03T04:30:00Z,5/3/2016,2,Tuesday,11,94,1014
1498.0817,2016-05-03T05:00:00Z,5/3/2016,2,Tuesday,11,87,1015
1278.291,2016-05-03T05:30:00Z,5/3/2016,2,Tuesday,11,88,1014
1468.251,2016-05-03T06:00:00Z,5/3/2016,2,Tuesday,11,82,1014
1657.8714,2016-05-03T06:30:00Z,5/3/2016,2,Tuesday,11,88,1014
1877.9365,2016-05-03T07:00:00Z,5/3/2016,2,Tuesday,12,79,1014
2077.0197,2016-05-03T07:30:00Z,5/3/2016,2,Tuesday,12,82,1014
2259.4575,2016-05-03T08:00:00Z,5/3/2016,2,Tuesday,13,69,1014
2351.7465,2016-05-03T08:30:00Z,5/3/2016,2,Tuesday,13,77,1014
2376.6505,2016-05-03T09:00:00Z,5/3/2016,2,Tuesday,13,63,1014
2405.4204,2016-05-03T09:30:00Z,5/3/2016,2,Tuesday,14,72,1014
2354.3276,2016-05-03T10:00:00Z,5/3/2016,2,Tuesday,15,61,1014
2252.055,2016-05-03T10:30:00Z,5/3/2016,2,Tuesday,16,63,1014
2197.0387,2016-05-03T11:00:00Z,5/3/2016,2,Tuesday,16,53,1014
2207.5974,2016-05-03T11:30:00Z,5/3/2016,2,Tuesday,17,59,1013
2195.481,2016-05-03T12:00:00Z,5/3/2016,2,Tuesday,16,48,1014
2199.8919,2016-05-03T12:30:00Z,5/3/2016,2,Tuesday,16,63,1013
2164.522,2016-05-03T13:00:00Z,5/3/2016,2,Tuesday,16,52,1013
2112.6651,2016-05-03T13:30:00Z,5/3/2016,2,Tuesday,16,68,1013
2017.4168,2016-05-03T14:00:00Z,5/3/2016,2,Tuesday,16,49,1012
1988.4883,2016-05-03T14:30:00Z,5/3/2016,2,Tuesday,16,63,1012
1970.9054,2016-05-03T15:00:00Z,5/3/2016,2,Tuesday,16,50,1012
1874.547,2016-05-03T15:30:00Z,5/3/2016,2,Tuesday,17,52,1012
1781.9227,2016-05-03T16:00:00Z,5/3/2016,2,Tuesday,16,46,1012
1722.1786,2016-05-03T16:30:00Z,5/3/2016,2,Tuesday,16,59,1012
